engine deets

altitude variation

:1.21543,8.38629,-3.90667,0.748149,-0.065292,0.002127
:2.92594,3.19413,-0.405469,-0.104809,0.021076,-0.000973
:5.8593,-4.21084,3.36417,-0.835452,0.082125,-0.00283
:6.68352,-5.70148,3.23227,-0.614726,0.04672,-0.00123
:5.8297,-3.15978,1.11923,-0.045195,-0.013311,0.000945
:4.33072,0.772815,-1.20223,0.426408,-0.050891,0.00194
:3.90567,1.85635,-1.73053,0.453766,-0.042611,0.001273

//
speed variation
:13.726665,-11.217764,3.645673,-0.490702,0.029291,-0.000646
:207.901730,-118.459447,26.195680,-2.763477,0.139808,-0.002731
:159.155554,-87.320545,18.643018,-1.896676,0.092633,-0.001752
:124.501020,-62.963017,12.187380,-1.102338,0.047001,-0.000763
:-48.203958,37.915694,-10.371868,1.308327,-0.076516,0.001677
:-94.833190,61.546903,-14.685694,1.651108,-0.087547,0.001761
:-24.720600,17.620522,-4.100194,0.427201,-0.019673,0.000315
